Порядковое число администрации и комитета,Название организации  правообладателя,"Вид активности, вид спорта",Адрес,Уточнение адреса,Координаты,"Ближайшая станция метро, остановка общественного транспорта",Район,Телефон(ы),Адрес сайта или  страницы в социальных сетях,Статус (работающий/ временно приостановлено посещение),Время работы  (расписание),Доступность для лиц с нарушениями здоровья,Наличие проката инвентаря (да/нет),Наличие услуг инструктора (да/нет),Наличие помещения для переодевания (да/нет),Наличие камеры хранения (да/нет),Иные услуги (перечень)
13.043,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Петроградского района Санкт-Петербурга""","Баскетбол, алтимат фрисби, ОФП","Кронверкский пр., д.45","Кронверкская ул. Участок 13, (во дворе дома 45 по Кронверкскому пр.)","59.957486,30.312257",Ст. М. Горьковская,Петроградский,576-51-12,Https://cfszpr.ru/ https://vk.com/cfszpr,Работающий,Рабочие дни с 09.00-22.00 Выходные и праздничные дни с 12.00-22.00,Частично,False,True,False,False,
13.044,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Петроградского района Санкт-Петербурга""",Баскетбол,"Большая Монетная ул., д.30, лит.А","Большая Монетная ул., участок 61, (во дворе дома 30, литера А)","59.963327,30.32482","Ст. М. Петроградская, ст. М. Горьковская",Петроградский,576-51-12,Https://cfszpr.ru/ https://vk.com/cfszpr,Работающий,Рабочие дни с 09.00-22.00 Выходные и праздничные дни с 12.00-22.00,Частично,False,True,False,False,
13.045,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Петроградского района Санкт-Петербурга""",Футбол,"ул. Рентгена, д.6, лит.А","Ул. Рентгена, участок 58, (у дома 6 литера А)","59.964317,30.316258",Ст. М. Петроградская,Петроградский,576-51-12,Https://cfszpr.ru/ https://vk.com/cfszpr,Работающий,Рабочие дни с 09.00-22.00 Выходные и праздничные дни с 12.00-22.00,Частично,False,True,False,False,
13.046,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Петроградского района Санкт-Петербурга""",Футбол,"ул. Ординарная, д.5, литера А","Ул. Ординарная, уч.14 (у д.5, лит. А)","59.965661,30.308461",Ст. М. Петроградская,Петроградский,576-51-12,Https://cfszpr.ru/ https://vk.com/cfszpr,Работающий,Рабочие дни с 09.00-22.00 Выходные и праздничные дни с 12.00-22.00,Частично,False,True,False,False,
13.047,МА МО Кронверкское,Гимнастика,"ул. Воскова, д. 11",,"59.957727,30.306811",Ст. М. Спортивная,Петроградский,498-58-69,Https://kronverkskoe.ru,Работающая,Круглосуточно,Недоступно,False,False,False,False,
13.048,МА МО Кронверкское,"Гимнастика, тренажеры","Б. Пушкарская ул., д. 21","""Матвеевский сад""","59.960933,30.310052","Ст. М. Спортивная, остановка ""Введенская улица""",Петроградский,498-58-69,Https://kronverkskoe.ru,Работающая,Круглосуточно,Недоступно,False,False,False,False,
13.049,МА МО Кронверкское,Паркур,"ул. Мира, 4",,"59.959801,30.31273",Ст. М. Петроградская,Петроградский,498-58-69,Https://kronverkskoe.ru,Работающая,Круглосуточно,Недоступно,False,False,False,False,
13.050,МА МО Кронверкское,"Мини-футбол, волейбол, баскетбол, тренажеры","ул. Большая Пушкарская, д. 27","Ул. Большая Пушкарская, д. 27","59.959978,30.306622","Ст. М. Петроградская, остановка ""Улица Ленина""",Петроградский,498-58-69,Https://kronverkskoe.ru,Работающая,Круглосуточно,Недоступно,False,False,False,False,
13.051,МА МО Кронверкское,"Тренажеры, гимнастика","ул. Большая Пушкарская, 56",,"59.963432,30.31009",Ст. М. Петроградская,Петроградский,498-58-69,Https://kronverkskoe.ru,Работающая,Круглосуточно,Недоступно,False,False,False,False,
13.052,МА МО Посадский,"Мини-футбол, баскетбол, волейбол","Мичуринская ул., 14/3",,"59.956053,30.325171",Ст. М. Спортивная,Петроградский,313-96-65,Http://mo60.ru/,Работающая,Круглосуточно,Недоступно,False,False,False,False,
13.053,МА МО Посадский,Тренажеры,"Ул. Малая Посадская., д. 20",,"59.957653,30.324827",Ст. М. Спортивная,Петроградский,313-96-66,Http://mo60.ru/,Работающая,Круглосуточно,Недоступно,False,False,False,False,
13.054,МА МО Посадский,Тренажеры,"Ул. Куйбышева, д. 1/5",,"59.954316,30.327984",Ст. М. Петроградская,Петроградский,313-96-67,Http://mo60.ru/,Работающая,Круглосуточно,Недоступно,False,False,False,False,
13.055,МА МО Посадский,"Тренажеры, гимнастика","Шамшева улица, дом 10, литера Б",,"59.960432,30.299503",Ст. М. Чкаловская,Петроградский,313-96-68,Http://mo60.ru/,Работающая,Круглосуточно,Посещение возможно,False,False,False,False,
13.056,МО округ Петровский,Уличные тренажеры,"Ул. Б.Зеленина, д. 13",,"59.961702,30.294638",Ст. М. Чкаловская,Петроградский,232-99-52,Https://petrovskiokrug.ru/,Работающая,10.00-23.00,Посещение возможно,False,False,False,False,
13.057,МО округ Петровский,Тренажеры,"Петровский проспект, дом 20, корпус 3, литера А",,"59.959497,30.265812",Ст. М. Спортивная,Петроградский,232-99-53,Https://petrovskiokrug.ru/,Работающая,Круглосуточно,Посещение возможно,False,False,False,False,
13.058,МО округ Петровский,"Тренажеры, гимнастика","Петровский проспект, дом 20, корпус 3, литера А",,"59.959254,30.264992",Ст. М. Спортивная,Петроградский,232-99-54,Https://petrovskiokrug.ru/,Работающая,Круглосуточно,Посещение возможно,False,False,False,False,
13.059,"ООО""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""КОМФОРТ СЕРВИС""","Гимнастика, тренажеры, баскетбол","улица Академика Павлова, дом 6, корпус 2, литера А",,"59.976067,30.315108",Ст. М. Петроградская,Петроградский,8 (812) 325-35-35,Http://xn--j1aavf.xn--p1ai/,Работающая,Круглосуточно,Посещение возможно,False,False,False,False,
13.060,"ООО""ЮИТ СЕРВИС""","Тренажеры, гимнастика","Барочная улица, дом 12, литера А",,"59.969341,30.287073","Ст. М. Петроградская, ст. М. Чкаловская",Петроградский,8 (812) 677-70-06,Https://spb.y-service.site/,Работающая,Круглосуточно,Посещение возможно,False,False,False,False,
13.061,"ТСЖ""ОЛИМПИЙСКАЯ ДЕРЕВНЯ""",Гимнастика,"Вязовая улица, дом 10, литера А",,"59.966785,30.274299",Ст. М. Крестовский остров,Петроградский,"458-72-62, 448-98-70",,Работающая,Круглосуточно,Посещение возможно,False,False,False,False,
13.062,"ЖК ""Европа Сити""",Баскетбольная площадка,"ул. Академика Павлова, дом 6, корпус 6",,"59.975407,30.315532",Ст. М. Петроградская,Петроградский,,,Работающая,Круглосуточно,Посещение возможно,False,False,False,False,
13.063,"ЖК ""Европа Сити""",Баскетбольная площадка,"ул. Академика Павлова, дом 6, корп. 2, лит.А",,"59.976006,30.31523",Ст. М. Петроградская,Петроградский,,,Работающая,Круглосуточно,Посещение возможно,False,False,False,False,
13.064,"ЖК ""Европа Сити""",Настольный теннис,"пр. Медиков, дом 10, корп. 5, лит. А",,"59.974336,30.314915",Ст. М. Петроградская,Петроградский,,,Работающая,Круглосуточно,Посещение возможно,False,False,False,False,
14.0001,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""","Настольный теннис , ОФП","пос. Стрельна, Орловская ул., д. 1","Пос. Стрельна, Орловская ул., уч. 2 (напротив дома 1)","59.853294,30.040152",Автово,Петродворцовый,661-17-95 89111055921,Центр-спорта.рф,Работающий,"Вт., Ср., Чт. 10.00-14.00",Да,False,True,False,False,Центр-спорта.рф https://vk.com/public117605336 https://vk.com/club202686263 https://vk.com/tt_petergof https://vk.com/public200411159
14.0002,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""","Настольный теннис, ОФП","пос. Стрельна, Санкт-Петербургское шоссе, д. 68/2, лит. А","Пос. Стрельна, Санкт-Петербургское шоссе, уч. 17 (у дома 68/2, лит. А)","59.850716,30.051521","Пос.Стрельна, ост.Ново-Нарвское шоссе",Петродворцовый,661-17-95 89111055921,Центр-спорта.рф,Работающий,"Сб., Вс. 10.00-.16.00",Да,False,True,False,False,Центр-спорта.рф https://vk.com/public117605336 https://vk.com/club202686263 https://vk.com/tt_petergof https://vk.com/public200411160
14.0003,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""","Футбол, настольный теннис","Петергоф, Бобыльская дорога, 60","Петергоф, Бобыльская дорога, уч. 5 (напротив дома 61, лит. А)","59.888208,29.862527",Автово,Петродворцовый,661-17-95 89111055921,Центр-спорта.рф,Работающий,"Пн., Ср., Пт. 16.00-19.00; Вс. 10.00-13.01",Да,False,True,False,False,Центр-спорта.рф https://vk.com/public117605336 https://vk.com/club202686263 https://vk.com/tt_petergof https://vk.com/public200411161
14.0004,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""","Настольный теннис, ОФП","Петергоф, Гостилицкое шоссе, д. 23","Петергоф, Гостилицкое шоссе, уч. 10 (у дома 23, корп. 1)","59.869604,29.851181",Автово,Петродворцовый,661-17-95 89111055921,Центр-спорта.рф,Работающий,"Пн.,Чт.,Пт.15.00-19.00;Сб.9.00-13.00;Вс.9.00-18.01",Да,False,True,False,False,Центр-спорта.рф https://vk.com/public117605336 https://vk.com/club202686263 https://vk.com/tt_petergof https://vk.com/public200411162
14.0005,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",Волейбол,"Петергоф, Константиновская ул., дом. 8, лит. А","Петергоф, Константиновская ул., уч. 2 (возле дома 8, лит. А)","59.876727,29.919466",Автово,Петродворцовый,661-17-95 89111055921,Центр-спорта.рф,Работающий,"Ср., Пт., Сб., Вс. 10.00-13.00; 16.00-19.00",Да,False,True,False,False,Центр-спорта.рф https://vk.com/public117605336 https://vk.com/club202686263 https://vk.com/tt_petergof https://vk.com/public200411163
14.0006,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",Воркаут,"Петергоф, Константиновская ул., д. 8, лит. А","Петергоф, Константиновская ул., уч. 3 (возле дома 8, лит. А)","59.87659,29.919391",Автово,Петродворцовый,661-17-95 89111055921,Центр-спорта.рф,Работающий,"Ср., Пт., Сб., Вс. 10.00-13.00; 16.00-19.00",Да,False,True,False,False,Центр-спорта.рф https://vk.com/public117605336 https://vk.com/club202686263 https://vk.com/tt_petergof https://vk.com/public200411164
14.0007,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",Футбол,"Петергоф, Кооперативная ул., д. 20, лит. А","Петергоф, Кооперативная ул., уч. 3 (напротив дома 20, лит. А)","59.882082,29.849267",Автово,Петродворцовый,661-17-95 89111055921,Центр-спорта.рф,Работающий,"Пн., Вт., Чт., Пт. 15.00-18.01",Да,False,True,False,False,Центр-спорта.рф https://vk.com/public117605336 https://vk.com/club202686263 https://vk.com/tt_petergof https://vk.com/public200411165
14.0008,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",Баскетбол,"Петергоф, Озерковая ул., д. 45, лит. А","Петергоф, Озерковая ул., уч. 9 (у дома 45, лит. А)","59.871749,29.896791",Автово,Петродворцовый,661-17-95 89111055921,Центр-спорта.рф,Работающий,"Чт. 10.00-14.00 Сб., Вс. 12.00-16.01",Да,False,True,False,False,Центр-спорта.рф https://vk.com/public117605336 https://vk.com/club202686263 https://vk.com/tt_petergof https://vk.com/public200411166
14.0009,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""","Настольный теннис,ОФП","Петергоф, Разводная ул., д. 19","Петергоф, Разводная ул., уч. 39 (у дома 19)","59.876376,29.899954",Автово,Петродворцовый,661-17-95 89111055921,Центр-спорта.рф,Работающий,"Вт,Чт, Сб,Пт. 09:00-12:01",Да,False,True,False,False,Центр-спорта.рф https://vk.com/public117605336 https://vk.com/club202686263 https://vk.com/tt_petergof https://vk.com/public200411167
14.0010,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""","Футбол,баскетбол","Петергоф, Суворовская ул., дом 5, корп. 4","Петергоф, Суворовская ул., уч. 5 (напротив дома 5, корп. 4)","59.884042,29.861404",Автово,Петродворцовый,661-17-95 89111055921,Центр-спорта.рф,Работающий,Пн. 18.00-21.00 Ср.18.00-21.00 Вс. 9.00-15.01,Да,False,True,False,False,Центр-спорта.рф https://vk.com/public117605336 https://vk.com/club202686263 https://vk.com/tt_petergof https://vk.com/public200411168
14.0011,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""","Футбол, волейбол,воркаут, ОФП","Петергоф, Суворовцев пер. , дом 10","Петергоф, Суворовцев пер. , уч. 1 (у дома 10)","59.859755,29.924536",Автово,Петродворцовый,661-17-95 89111055921,Центр-спорта.рф,Работающий,Пн. 16.00-20.00; Вт. 14.00-20.00 ;Ср. 16.00-20.00; Чт. 14.00-20.00; Вс. 9.00-13.00,Да,False,True,True,False,Центр-спорта.рф https://vk.com/public117605336 https://vk.com/club202686263 https://vk.com/tt_petergof https://vk.com/public200411169
14.0012,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""","Футбол,баскетбол, ОФП, настольный теннис","Петергоф, Чебышёвская ул.","Петергоф, Чебышевская ул., уч. 5 (напротив дома 4, корп. 1)","59.869666,29.856412",Автово,Петродворцовый,661-17-95 89111055921,Центр-спорта.рф,Работающий,Вт. 18.00-21.00 Чт. 19.00-21.00 Вс. 10.00-21.00,Да,False,True,False,False,"Центр-спорта.рф https://vk.com/public117605336 https://vk.com/club202686263 https://vk.com/tt_petergof https://vk.com/public200411159, объект не имеет освещения"
14.0013,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",Волейбол,"Петергоф, Чичеринская ул., д. 5, корп. 1","Петергоф, Чичеринская ул., уч. 7 (напротив дома 5, корп. 1)","59.870904,29.852056",Автово,Петродворцовый,661-17-95 89111055921,Центр-спорта.рф,Работающий,Вт. 11.00-14.00; Ср. 10.00-13.00; Чт. 11.00-13.00; Сб.; Вс. 10.00-18.00,Да,False,True,False,True,"Центр-спорта.рф https://vk.com/public117605336 https://vk.com/club202686263 https://vk.com/tt_petergof https://vk.com/public200411159, объект не имеет освещения"
14.0014,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",Футбол,"Петергоф, Чичеринская ул., д. 5, корп. 2","Петергоф, Чичеринская ул., уч. 8 (напротив дома 5, корп. 2)","59.870621,29.853301",Автово,Петродворцовый,661-17-95 89111055921,Центр-спорта.рф,Работающий,Вт. 11.00-14.00 Ср. 10.00-13.00 Чт. 11.00-13.00 Сб.; Вс. 10.00-18.00,Да,False,True,False,False,Центр-спорта.рф https://vk.com/public117605336 https://vk.com/club202686263 https://vk.com/tt_petergof https://vk.com/public200411159
14.0015,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",Баскетбол,"Петергоф, Чичеринская ул.,д. 5, корп. 2","Петергоф, Чичеринская ул., уч. 9 (напротив дома 5, корп. 2)","59.870699,29.853022",Автово,Петродворцовый,661-17-95 89111055921,Центр-спорта.рф,Работающий,Сб; Вс. 10.00-16.00,Да,False,True,False,False,Центр-спорта.рф https://vk.com/public117605336 https://vk.com/club202686263 https://vk.com/tt_petergof https://vk.com/public200411160
14.0016,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""","Настольный теннис, ОФП","Петергоф, Шахматова ул. , д.16, корп. 4","Петергоф, Шахматова ул. , уч. 8 (у дома 16, корп. 4, лит. А)","59.871865,29.865081",Автово,Петродворцовый,661-17-95 89111055921,Центр-спорта.рф,Работающий,"Вт., Ср., Чт., Пт., 12.00-16.00 Сб. 07.00-09.00, 17.00-19.00",Да,False,False,False,False,Центр-спорта.рф https://vk.com/public117605336 https://vk.com/club202686263 https://vk.com/tt_petergof https://vk.com/public200411159
14.0017,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",Баскетбол,"Ломоносов, Александровская ул., д. 15","Ломоносов, Александровская ул., уч. 7, (у дома 15)","59.909782,29.770639",Автово,Петродворцовый,661-17-95 89111055921,Центр-спорта.рф,Работающий,Пн. 9.00-12.00 Вт. 9.00-14.00 Ср. 9.00-15.00 Чт.9.00-13.00,Да,False,True,False,False,Центр-спорта.рф https://vk.com/public117605336 https://vk.com/club202686263 https://vk.com/tt_petergof https://vk.com/public200411159
14.0018,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""","Футбол, баскетбол","Ломоносов, Александровская ул., дома 32б","Ломоносов, Александровская ул., уч. 8, (напротив дома 32б)","59.910816,29.774748",Автово,Петродворцовый,661-17-95 89111055921,Центр-спорта.рф,Работающий,Ср. 14.00-18.00 Чт 14.00-18.00 Пт. 16.00-18.00 Сб. 15.00-17.00,Да,False,True,False,False,Центр-спорта.рф https://vk.com/public117605336 https://vk.com/club202686263 https://vk.com/tt_petergof https://vk.com/public200411159
14.0019,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""","Футбол,баскетбол","Ломоносов, Ораниенбаумский пр., д.21, лит. А","Г. Ломоносов, Ораниенбаумский пр., уч. 7 (напротив дома 21, лит. А)","59.903741,29.780101",Автово,Петродворцовый,661-17-95 89111055921,Центр-спорта.рф,Работающий,Пн. 8.30-10.30; 11.00-13.00;18.00-21.00 Вт. 11.00-13.00; 18.00-21.00 Ср. 18.00-21.00 Чт.8.30-10.30; 18.00-21.00 Вс. 12.00-16.00,Да,False,True,False,False,Центр-спорта.рф https://vk.com/public117605336 https://vk.com/club202686263 https://vk.com/tt_petergof https://vk.com/public200411159
14.0020,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",Скейтбординг,"Ломоносов, Победы ул., д. 34, корп. 2, лит. А","Ломоносов, Победы ул., уч. 12 (северо-западнее дома 34, корп. 2, лит. А)","59.897284,29.766722",Автово,Петродворцовый,661-17-95 89111055921,Центр-спорта.рф,Работающий,Понедельник -воскресенье 9.00-21.00,Да,False,True,False,False,Центр-спорта.рф https://vk.com/public117605336 https://vk.com/club202686263 https://vk.com/tt_petergof https://vk.com/public200411159
14.0021,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""","Футбол, баскетбол","Петергоф, Веденеева ул., д. 4","Петергоф, Веденеева ул. Уч. 2 (южнее дома 4)","59.876185,29.864787",Автово,Петродворцовый,661-17-95 89111055921,Центр-спорта.рф,Аботающий,Понедельник – Воскресенье с 10:00 ч. До 21:00 ч.,Да,False,True,True,False,Центр-спорта.рф https://vk.com/public117605336 https://vk.com/club202686263 https://vk.com/tt_petergof https://vk.com/public200411160
14.0022,"СПб ГБУ ""Подростково-молодежный центр Петродворцового района Санкт-Петербурга""",Футбол,"пос. Стрельна, Санкт-Петербургское шоссе, 84а","Пос. Стрельна, Санкт-Петербургское шоссе, уч. 20 (севернее дома 84а, лит. А)","59.852226,30.033661",Автово,Петродворцовый,246-24-52,Gu182.site.gov.spb.ru,Работающий,Понедельник – Воскресенье с 10:00 ч. До 21:00 ч.,Да,False,True,False,False,Gu182.site.gov.spb.ru
14.0023,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",Футбол,"Петергоф, Веденеева ул., д. 1","Петергоф, Веденеева ул. , уч. 3 (южнее дома 1, лит. А)","59.876131,29.863725",Автово,Петродворцовый,661-17-95 89111055921,Центр-спорта.рф,Работающий,Понедельник – Воскресенье с 10:00 ч. До 21:00 ч.,Да,False,True,True,False,Центр-спорта.рф https://vk.com/public117605336 https://vk.com/club202686263 https://vk.com/tt_petergof https://vk.com/public200411160
14.0024,"СПб ГБУ ""Подростково-молодежный центр Петродворцового района Санкт-Петербурга""",Футбол,"пос. Стрельна, Ново-Нарвское шоссе","Пос. Стрельна, Ново-Нарвское шоссе, уч. 3 (у дома 9)","59.849122,30.050022",Автово,Петродворцовый,246-24-52,Gu182.site.gov.spb.ru,Работающий,Понедельник – Воскресенье с 10:00 ч. До 21:00 ч.,Да,False,True,False,False,Gu182.site.gov.spb.ru
14.0025,"СПб ГБУ ""Подростково-молодежный центр Петродворцового района Санкт-Петербурга""",Баскетбол,"Ломоносов, Морская ул., д.58","Ломоносов, Морская ул., уч. 12 (напротив д.58, лит.А)","59.908074,29.811759",Автово,Петродворцовый,246-24-52,Gu182.site.gov.spb.ru,Работающий,Ср с 15:00 до 18:00 Пт с 15:00 до 18:00,Да,False,True,False,False,Gu182.site.gov.spb.ru
15.01,"СПб ГБУ ""Центр спорта Приморского района""",Футбол Хоккей Баскетбол,"ул. Дибуновская, 9, лит. А","197183, Санкт-Петербург, улица Дибуновская, участок 8, д. Северо-западнее дома 9, лит. А","59.986489,30.280359",Черная речка,Приморский,"2400168, 4588661",Http://gu171.site.gov.spb.ru/ https://vk.com/centrsporta,Работающий,09.00-22.00,Да,False,True,False,False,
15.02,"СПб ГБУ ""Центр спорта Приморского района""",Баскетбол Настольный теннис Уличные тренажёры,"ул. Дибуновская, д. 59","197183, Санкт-Петербург, ул.Дибуновская, уч.9 (южнее д.59)","59.98569,30.260277",Старая деревня,Приморский,"2400168, 4588661",Http://gu171.site.gov.spb.ru/ https://vk.com/centrsporta,Работающий,09.00-22.00,Да,False,False,False,False,
15.03,"СПб ГБУ ""Центр спорта Приморского района""",Баскетбол Футбол,"ул. Савушкина, д. 44","197183, Санкт-Петербург, улица Савушкина, участок 3, д. Западнее дома 44","59.984335,30.282417",Черная речка,Приморский,"2400168, 4588661",Http://gu171.site.gov.spb.ru/ https://vk.com/centrsporta,Работающий,09.00-22.00,Да,False,True,False,False,
15.04,"СПб ГБУ ""Центр спорта Приморского района""",Уличные тренажеры Настольный теннис,"ул. Школьная, д.3, лит. А","197183, Санкт-Петербург, улица Школьная, участок 47, д. Северо-западнее дома 3, лит. А","59.98955,30.298361",Черная речка,Приморский,"2400168, 4588661",Http://gu171.site.gov.spb.ru/ https://vk.com/centrsporta,Работающий,09.00-22.00,Да,False,False,False,False,
15.05,"СПб ГБУ ""Центр спорта Приморского района""",Баскетбол Уличные тренажеры,"ул. Школьная, д.17, лит. А","197183, Санкт-Петербург, улица Школьная, участок 48, д. Северо-восточнее дома 17, лит. А","59.988524,30.28761",Черная речка,Приморский,"2400168, 4588661",Http://gu171.site.gov.spb.ru/ https://vk.com/centrsporta,Работающий,09.00-22.00,Да,False,False,False,False,
15.06,"СПб ГБУ ""Центр спорта Приморского района""",Баскетбол Волейбол Уличные тренажёры Настольный теннис,"пр. Испытателей, д.28, к.3, лит. А","197227, Санкт-Петербург, проспект Испытателей, участок 52, д. Южнее дома 28, кор. 3, лит. А","60.005763,30.265862",Комендантский проспект,Приморский,"2400168, 4588661",Http://gu171.site.gov.spb.ru/ https://vk.com/centrsporta,Работающий,09.00-22.00,Да,False,False,False,False,
15.07,"СПб ГБУ ""Центр спорта Приморского района""",Баскетбол Уличные тренажёры,"ул. Гаккелевская, д. 25, к.2,    лит. А","197227, Санкт-Петербург, улица Гаккелевская, участок 53, д. Северо-западнее дома 25, кор. 2, лит. А","60.002431,30.258354",Комендантский проспект,Приморский,"2400168, 4588661",Http://gu171.site.gov.spb.ru/ https://vk.com/centrsporta,Работающий,09.00-22.00,Да,False,False,False,False,
15.08,"СПб ГБУ ""Центр спорта Приморского района""",Настольный теннис Уличные тренажеры,"Серебристый бульвар, д.13, к.1, лит. А","197227, Санкт-Петербург, бульвар Серебристый, участок 75, д. Северо-восточнее дома 13, кор. 1, лит. А","60.003028,30.282819",Пионерская,Приморский,"2400168, 4588661",Http://gu171.site.gov.spb.ru/ https://vk.com/centrsporta,Работающий,09.00-22.00,Да,False,False,False,False,
15.09,"СПб ГБУ ""Центр спорта Приморского района""",Настольный теннис Уличные тренажеры,"пр. Испытателей, д.20, к.1","197227, Санкт-Петербург, проспект Испытателей, участок 27, д. Южнее дома 20, кор. 1","60.004638,30.278298",Пионерская,Приморский,"2400168, 4588661",Http://gu171.site.gov.spb.ru/ https://vk.com/centrsporta,Работающий,09.00-22.00,Да,False,False,False,False,
15.10,"СПб ГБУ ""Центр спорта Приморского района""",Футбол Хоккей Баскетбол,"ул. Байконурская, д.19, к.3,     лит. А","197227, Санкт-Петербург, улица Байконурская, участок 25, д. Севернее дома 19, кор. 3, лит. А","60.009444,30.278925",Пионерская,Приморский,"2400168, 4588661",Http://gu171.site.gov.spb.ru/ https://vk.com/centrsporta,Работающий,09.00-22.00,Нет,False,False,False,False,
15.11,"СПб ГБУ ""Центр спорта Приморского района""",Футбол Баскетбол Волейбол Уличные тренажёры,"ул. Колхозная, д. 33","197229, Санкт-Петербург, Лахта, улица Колхозная, участок 51, д. Северо-восточнее пересечения с улицей Красных партизан, д.33","59.995103,30.155783",Беговая,Приморский,"2400168, 4588661",Http://gu171.site.gov.spb.ru/ https://vk.com/centrsporta,Работающий,09.00-22.00,Да,False,True,False,False,
15.12,"СПб ГБУ ""Центр спорта Приморского района""",Футбол Баскетбол,"Аллея Котельникова, д.2, к.2, лит. А","197341, Санкт-Петербург, аллея Котельникова, участок 11, д. Южнее дома 2, кор. 2, лит. А","60.011465,30.292267",Пионерская,Приморский,"2400168, 4588661",Http://gu171.site.gov.spb.ru/ https://vk.com/centrsporta,Работающий,09.00-22.00,Да,False,False,False,False,
15.13,"СПб ГБУ ""Центр спорта Приморского района""",Баскетбол,"Аллея Поликарпова, д.3, к.1., лит. А","197341, Санкт-Петербург, аллея Поликарпова, участок 31, д. Во дворе дома 3, кор. 1, лит. А","60.008164,30.291204",Пионерская,Приморский,"2400168, 4588661",Http://gu171.site.gov.spb.ru/ https://vk.com/centrsporta,Работающий,09.00-22.00,Да,False,False,False,False,
15.14,"СПб ГБУ ""Центр спорта Приморского района""",Футбол Баскетбол,"Аллея Поликарпова, д.8, к.1., лит. А","197341, Санкт-Петербург, аллея Поликарпова, участок 32, д. Во дворе дома 8, кор. 1, лит. А","60.006427,30.288358",Пионерская,Приморский,"2400168, 4588661",Http://gu171.site.gov.spb.ru/ https://vk.com/centrsporta,Работающий,09.00-22.00,Да,False,False,False,False,
15.15,"СПб ГБУ ""Центр спорта Приморского района""",Настольный теннис Уличные тренажеры,"ул. Парашютная, д.12","197341, Санкт-Петербург, улица Парашютная, участок 20, д. В северной части двора дома 12","60.015664,30.283808",Пионерская,Приморский,"2400168, 4588661",Http://gu171.site.gov.spb.ru/ https://vk.com/centrsporta,Работающий,09.00-22.00,Да,False,False,False,False,
15.16,"СПб ГБУ ""Центр спорта Приморского района""",Скейтбординг,"Ланское шоссе, д.24, к.5, лит. А","197342,Санкт-Петербург, Ланское шоссе, участок 32, д. Северо-западнее д.24, кор. 5, лит. А","59.998157,30.320223",Черная речка,Приморский,"2400168, 4588661",Http://gu171.site.gov.spb.ru/ https://vk.com/centrsporta,Работающий,09.00-22.00,Да,False,False,False,False,
15.17,"СПб ГБУ ""Центр спорта Приморского района""",Футбол Баскетбол,"Ланское шоссе, д.9, лит. А","197342, Санкт-Петербург, Ланское шоссе, участок 44, д. Юго-восточнее дома 9, лит. А","59.989031,30.305829",Черная речка,Приморский,"2400168, 4588661",Http://gu171.site.gov.spb.ru/ https://vk.com/centrsporta,Работающий,09.00-22.00,Да,False,True,False,False,
15.18,"СПб ГБУ ""Центр спорта Приморского района""",Футбол Уличные тренажёры,"Набережная Чёрной речки, д.31, лит. А","197342, Санкт-Петербург, набережная Черной речки, участок 5, д. Южнее дома 31, лит. А","59.984439,30.311213",Черная речка,Приморский,"2400168, 4588661",Http://gu171.site.gov.spb.ru/ https://vk.com/centrsporta,Работающий,09.00-22.00,Да,False,True,False,False,
